content,score
"Honestly, I was looking forward to the Wonderland whatever. That was before I spent hours updating my device only to find out the customization is severely limited and bad. The UI is so busy that while I'm sure there's a way to filter the single player games I gave up looking. First game I tried the tutorial for one, it froze my phone so bad I couldn't even hard restart. Too much is blocked by pay walls. I'll stick to the base game. This new mode isn't worth the song and dance from marketing",1
"I love this game, but I'm incredibly disappointed with the direction it's gone. There's still no skip button, no artifact loadouts, the Miliastra Wonderland takes up too much space, can't be uninstalled, and cosmetics can ONLY be obtained by paid currency - no f2p way to get it. We need more optimizations for all platforms, but especially mobile. Not everyone can shell out 30gb of space for this game!!",1
"This is a gacha game, slightly money hungry but, genshin, albeit there are stil many parts that you can call money hungry, like how you need a material to level from 90-100 which you can only get as a long time player and/or if you spend enough money, most aren't that beneficial. This game has a striking story and many characters you can even play with to, its also open world and has many enemies and different ways to fight, even exploration varies with unique things in every one, also events to",5
"I am removing two stars for two reasons. First is how the models of older characters (Like Diluc and Venti) feel npc like now compares to newer and newerish models (like Flins, Citlali, and Navia), if certain older models had an update to fit in more with the other current models I would be thrilled. My second reason is Miniastra Wonderland (or however you spell it). It's very pay to win and quite underwhelming for something so bulky. Would appreciate a way to get some skins without paying.",3
"Best gacha game I've played. The characters have such in-depth stores, the gameplay is amazing, and it runs smoothly on mobile, what isn't their to love! The visuals in this game are amazing, and I've had great luck with pulling characters on multiple accounts, I haven't even finished the game yet, and I've already explored every region. However, I do feel like the only reason to get genises crystals (However it is spelled,) should not be by just paying.",5
"I've been playing since 2.1 and I'm AR 60. The graphics and story are amazing, the only thing I hate and why I have this game at 2⭐️ is due to the fact of how greedy the developers are. They don't listen to what the player base has been wanting about for the past 5 years like Artifact loadouts and now for the past year, for 5* characters to be at their best you have to pull for another 5* which is usually a patch before their debut. They also only give out a limited number of pulls per patch.",2
"I love this game so much. I've been playing since 3.0, but it's very sad how much space is needed for the game. I barely have any games on my phone, and even on the lowest graphics and little things I have that take up space, the game still lags, crashes, and takes very long to actually load.",2
"This is, without a doubt, my favorite game, so it hurts to see the game developers so money hungry being that they make so much as it is already. I understand it's a business, money is the name of the game, but customer experience and satisfaction are hey points to this game aswell. Over the years the game has had improvements as well as problems since 1.0. Resin, artifact RNG, weapon banner, and now level 100. I don't see the need to lock levels 90-100 behind a pay wall. Hoyo do you need more?",1
"Update on my last review!: the game was fixed for me a while ago, I js forgot to update this. As for ways to farm primogems, it's still pretty hard to farm if you're not constantly on the game 24/7 especially if you're a higher adventure rank (stil at ar 55) but it doesn't mean the game isn't fun! I'd just love if events were more rewarding and didn't include much fighting in them, but that's just an issue for me since I can't clear anything anymore after I got hacked, all my artifacts r gone(,:",5
"Genshin Impact looks amazing at first—stunning visuals, great music, and a huge world to explore. But after the honeymoon phase, it quickly becomes a grind. The gacha system is predatory, with extremely low drop rates that push players toward spending money with little reward. Progress is limited by the resin system of 200 cap, which forces you to either stop playing or pay just to keep going. The gameplay gets repetitive fast. Unless you're ready to spend heavily or play with low expectations.",1
"Originally gave genshin a 5* review back on the 12/12/2020, back when I was so immersed and in love with the game. Now, it's a 3* max. The game I once enjoyed and looked forward to playing is now only played for the sake of nostalgia (+ the money I spent). Sorry Hoyo, the moment you decided debuting Mavuika and Citlali limited banners together while adding the 30 free pulls to the rerun phase, I lost interest. There are more issues (bland char animation, no skip button,etc.) than I can type now.",3
"My friend came back and can't play anymore because everything is too hard. I can't play old favorite characters because they're too weak now. Powercreep will kill this game when new players get to more recent regions and quit out of frustration, and old players will give up because of unsatisfying boss gimmicks. It feels like the devs don't play their own game. I can't imagine the majority of them fighting a boss and thought to themselves, ""this is so fun! let's share it with the players!"".",3
"Good visuals, poorly written story with some mildly interesting but poorly presented lore. Big game, so quite a variety of things. Voice acting can have entire sections that are very mediocre or have bad mic quality. Most of the characters are bland and 1 dimensional (some are as complex as 2D). Environments can can be pretty and fun to explore. Many zones aren't. Combat is just ok. Grinding is slow. Most of the game feels like a slog. Heavy fomo and really tries to get money out if you.",1
"this game is absolutely awesome. I first played the cloud version, because my friend recommended that I actually try it out, so I did. for a few minutes, I was skeptical, thinking I was gonna get bored after the next minute. but as soon as the adventures and the cutscenes started, I was absolutely engrossed in it, that I had completely forgotten about my assignments. that's why I'm here to download the full game so I can actually play it without any countdowns. Best 5 hours of my life.😞😭🥹",5
"One of the best games on mobile. The graphics and gameplay are addictive. I used to play this game all the time. It used to take up less than 5 gb, but at the time, that was a lot of space for my older model phone. Now I have a newer phone with way more space on it, but Istill refuse to play a game that takes up over 30gb of space. That's just crazy. I guess this will be an old favorite that I won't be playing anymore 😆🤷🏽‍♂️",1
"it is a good game and all...but i am not far in the story and am adventure rank 13. no problems up to this point. but now the game always kicks me out for some reason. i already teied to free up space, i tried to adjust the settings, to fix the files, everything. but it just freezes up at one point, then goes to black and i'm back at my home screen. I have nothing against this game, quite the opposite, i love it, but i don't understand what i am supposed to do when it just kicks me out.",2
"I've played this game for a long time and really tried giving it a chance, but its really just getting absurd. this company does NOT AT ALL listen to its fans. it ignores completely the issues their facing. even if they try to fix it, they'll still do it horribly and more to their advantage. not no mention that it is an absolute struggle to play if you dont spend money. it really does not support f2p. the storytelling is horrible, REALLY boring. its got good lore, just not good storytelling.",1
"I haven't played this in awhile so I went to come back to play this since it's just been sitting in my phone but when it was downloading, it was extremely slow. it would stay on the same percentage forever just to up 0.30% when it changed. I restarted my phone, hoping it would work but when I went back in, it didnt change a thing. in fact, when I tried exiting out of the app, it stayed on the same screen and was impossible to get out of.",3
"A lot to do in a massive open world, variety of characters and elemental powers with multiple weapons including mages. Its a long term game. Downside its insanely difficult to get artifacts to equip characters with the stats you are looking for plus in a single run to farm them it has two different types of artifacts instead of one which makes it even harder. You'll spend lot of Resin (energy) to get barely or exactly what you want just to build a single character. Developers should improve this",4
"Genshin has been really one of my fav games ever since i started playing it for like lots of hours. the beginning was so good, the stories are well arranged, the graphics are amazing, and the characters are beautiful, plus super cool. But unfortunately, Idk why genshin that. it should be improving the end-game, too, like what it did in the beginning. Also, the game depends on fanservice too much. I can't imagine there are only two men archons. pls fix the lore...it deserves better than that.",3
"Things I love about this game: The lore, characters, voice acting, open world... That's it. I do have lots of dislikes which are; the fact that there is so, so much stuff quests you need to do and as a player that's been here since 2022 but is still on Inazuma quest, I really hate it. It feels like a chore whenever I play, and while I do love the open world and exploring I tend to just explore and skip the important parts of quests overall. The battle mechanics are simple but repetitive.",3
"It won't let me access the game anymore. Literally! I'm only in the part where they show you ""HOYOVERSE"", and I get kicked out of the game. I got to access it yesterday, but I can't access it now anymore. I tried uninstalling and installing it again, didn't work. If the servers are under maintenance, they would send me a notice at the game before kicking me out, which wasn't the case. I don't think it's because of my phone either. PLEASE! FIX THIS!",1
"some of the quests are still unvoiced due to SAG AFTRA strike, we players have been patient, it's time to recast those who won't show up for work. Also, not to mention how QOLs on this game are so rare it took them 5 years to implement some needed QOLs which we could've had years ago, add to that the ""diversity"" of new characters, yeah, 1 male for the whole version of patch 5, it's like a sudden shift of characters to accomodate these gooners who sexualize female characters nonstop.",1
"Genshin Impact is an open world game where you can explore the continent of tevyat with many characters. the story is good and very captivating, the rewards aren't as generous as other games but you can still get something out of events and story quests. being f2p in this game is very hard and it almost seems like it's more payment required. the designs for the characters are cute but a bit too much fanservice, don't expect any difference in skin tones and there's a lot of drama with this game.",4
"I like the game, but I do not like the feeling that there's something lacking in this game. The environment is good, the characters are average but I love their outfit designs, I love the music, I hate the camera placement but it's justifiable, the world isn't dull but it feels kinda empty despite being colorful and such, the story... I'm not into it but I love how chill this game is. I play (rarely, coz it gets boring if it's daily) because it's a chill game.",1
"Genshin will be cherished for many years to come, but man, it had so much potential. An intriguing story, beautiful open-world, memorable characters, strategizing gameplay, and a moving soundtrack. I've been playing since 2.0, and as much as I wanted to stay until the end, it is hard to accept the direction Genshin has gone. Hoyoverse refuses to improve the game, and the community is just as bad. Everyone is either ignorant or ignored. Stay away from this pile of garbage. You've been warned.",1
"This game loses its charm quickly. It becomes a slog through the dialogue and story with its lack of a skip function, and becomes a grind for stat boosts at a random chance. It was initially fun to play but now I feel that the combat is just so boring and repetitive, it leaves no room for experiments, only higher damage numbers. This game does not care for your time and only wants your money with its stingy gacha rates and little gratitude towards its playerbase.",2
"The games good, yes but for some reason it's lacking a lot of vital features. The domains are a pain to do over and over again for good artificts—it significantly impacts gameplay and makes the game play feel like a chore and not fun like it used to in the start. There should be a feature to skip the domain gameplay after you've played it five or so times (like the cooking mechanic). And the standard banner needs a serious update and rework.",1
"(edited) I've been playing this game since January 16th, 2022. I have no real complaints.. The style is nice but lately there has been TOO MUCH fan service to the point where I'm not even surprised about it anymore, it's honestly ridiculous. But the characters are all interesting in their own ways and there's sooo much more that's gonna be added to the game so it's not rlly boring!! I have an OLD phone (Samsung Galaxy s10e) and it still runs smoothly, sometimes it'll glitch but not too badly!",3
"An awesome experience, the game is breathtaking and beautiful. Every new region is a new experience, the combat is easy to understand, and the story is amazing and also complex. Exploration keeps getting better, the puzzles are creative and challenging. The characters looks amazing and well designed, each having its unique traits. The Music is far from just amazing, its grand and varies with every region released. It feels like the game is made just for the music with storytelling in mind.",5
"Music is top notch, they keep me at bay when I am bored of the game or done with all quest and exploring. Graphic is amazing, character designs are great, JP Voice Actors are superb, gameplay is fun, the battle is fun, animation is such an eye candy, in-game events are mostly nice, exploration is super fun, world maps is huge, puzzles are hard enough. Disappointed in Natlan map, also they gone harem way with only females 5star. The old character feels so weak compared to new one, feels cheated:(",1
"Very fun, complex, game that always has something interesting to do. The art is beautiful, and I love the individuality of each character. The storylines are enjoyable, and most of the battles aren't too hard. The only downside is how much storage the game takes up, but that's to be expected. My phone does heat up a lot though.",5
"Story is AMAZING. archon quests are fun but side quests tend to get long and annoying. Would appreciate a skip button for that. Farming for artifact exp materials is literally impossible without events (that too a small amount) which is a huge drawback. Domains are also only available on specific days, which is unrealistic expecting players to have sufficient time to log in everyday for the materials. Exploration is also slow. Farming primos is hell, and building characters is almost impossible.",2
"As someone who has gotten decently far into the game (AR55) and played around the Inazuma release, I have plenty of experience from this game itself. That being said, all this game is doing currently is going south. The company refuses to listen to valid, useful criticism. End-game content is boring, and rewards simply aren't enough to suffice the gacha system. Resin cap is too small, so farming for characters is tremendously time-consuming, and frankly, their updates fall flat more than less.",1
I genuinely enjoy the game but there are some glaring technical issues that deeply bother me when it comes to the app version of this game. Lack of controler support The iOS version benefiting from this while leaving android in the dust is rather annoying. Random crashing Both me and my friend have experienced periods when the game would crash on the title screen for no reason whatsoever and the only fix was waiting a few days.,2
"The character designs and voice acting was ideal! The music was unique and excellently composed, and the exploration to the combat was one of the biggest highlights for me. However, I have always disliked their childish enemy designs, I always felt the music was more mature than the enemies themselves as well as the world design. The game is maturing into a millennial orientated game after Natland and I just can't pay the price for the content out now. Being a player since year one, sad change.",3
"I've started playing this game last year May 2024. While the gameplay was nice especially quests and open world adventure. But sometimes it's just kinda bored since it is open world adventure and gotta wandering around for hours just to look for quests. And also, the update and installation of this game takes very long to get in. Please make this game a bit more fun and more quests make me less bored and also shorten the duration of update. It's just take too long, hopefully fix that that's all",5
"5.0 Update: GI offers an incredible open-world, and the recent story has been strong as well. The dailies system has been improved to reward engagement with quests, while also making it easier to use resin and get rewarded. The game's biggest flaws continue to be a painfully slow character building process, and story pacing that prevents fast readers (or those bored with events) to get through content quickly. With a dialogue skip, and some more QoL, I think GI can continue to be a great title.",5
"Think this game is just personal preference,free to play or whale paying. I've found the game unbalanced via your level vs bosses,challenges and resources,sure you get by,it has great scenery and free roaming,but for me it goes from enjoyable to just a nonsense at times,still,anyone can find a reason to play,you'll pick it up on your own over the amount of people putting out content.I enjoy the game,but slightly. Doesn't feel rewarding accomplishing anything,just a cosmetic chore.",2
"The new game mode in version 6.1 is very bad. It's poorly explained, the minigames are confusing because they don't have a coherent tutorial, and the skins that can be applied to the characters are paid. It's worth noting that the new mode has no influence on the main plot of the game and loses the essence it had before. They wanted to innovate with new things and ended up making it worse. They would be doing us, the players, a favor by deleting it. Even the TCG is better than this.",1
"The new update was the worst, the outfits are locked behind a paywall, it's laggy, and the system of the game is really confusing, the rewards are always disappointing, the primos per update are always being less and less, the game is feeling overwhelming, the archon quest is dragged out, and feels overwhelming, when you start it you can't just leave because you're in a domain for a solid 30 minutes. Give us a skip button already",1
"Miliastra Wonderland should be an optional download. Honestly, I have little interest in playing co-op unless it's to help others get resources, beat bosses, or just help other players overall. Please make parrying an actual mechanic and not just limited to some characters' skills. Update old characters, especially the old limited characters, skill sets to keep up with the meta PLEASE. Aside from that, I've really enjoyed the game, and will continue to enjoy it for the foreseeable future.",5
"I mean, yeah it's fine, the lore is interesting, the characters are well written, the exploring is fun and smart, the enemies in Nod-krai are a little tough but I think I can deal with them, but the only thing that I don't really like is the wishing system. People are saving for characters they like but they get other characters they don't like instead. Some others don't get anything but 4* weapons. and I'm one of those people. I don't have many characters so I can't clear the spiral abyss.",2
"I've been playing since Inazuma and it's been my favourite game so far. The best region for me would be Fontaine, I just love the exploration and characters. However I've run into a problem. See I was updating the new version and the download was smooth the problem was when the shades are compiling and reached 100%, the game exits itself. I've tried everything I can like restarting the phone, re-installing the game but nothing is working. I don't think it's storage problem, maybe a bug?",5
"In terms of story, characters, gameplay, puzzles, exploration, etc (base Genshin Impact), it has gotten better over the years. The characters are pretty, the story has gotten very interesting, the gameplay mechanics are nice, the puzzles are fun, and the scenery is beautiful, but with the introduction of Miliastra wonderland, I'm cutting points. to aquire a 4/5 star skin or some cosmetics, You have to spend money. No way around it either. So it being pay to win made it very unappealing to play.",3
"Impeccable soundtrack, beautiful characters, good gameplay, and extraordinary landscapes. I'm giving it 3 stars because it's poorly optimized, has bugs, and for mobile users, the experience might not be as memorable. Also, for someone like me with a weaker device, it would be nice to be able to remove Miliastra Arcanum, not only the cache, as it just takes up space, difficulting the whole experience of playing.",3
"So far so good. I've been playing from time to time and i like it a lot. it's fantasy setting is something different from my usual realistic games but, i like a bit of difference. The controls are smooth and so is the gameplay. No issues whatsoever. And i bet I'll spend a lot of hours in here. Glad to finally be on the genshin team.",4
"It's very nice game, I find it relaxing and I play it whenever I have free time but after the latest update I cannot open my account, specifically while compiling shaders. I have compiled for at least 5 times now but every time it stops at 98 or 97 then restarts. It's getting tiring since I cannot continue the limited events, I hope this reaches hoyo and fixes it. It's really disturbing a lot of players. And if they cannot fix it, release an official statement which phones cannot handle it.",1
"The game is great, I really enjoy the story. But, why 3 star? With the recent patch with ""Miliastra Wonderland"", I don't think it's fun to have. I mean such a waste of storage, it doesn't have any connection for the entire story of Genshin (correct me if I'm wrong, casue I don't really see what's the connection between to esp with the story). Plus, miliastra's games are not that easy to understand, some are boring, some are too difficult, and some tutorials doesn't make sense at all. 😅",3
"I think one of the main reasons people are quitting is because there’s no skip button. As we grow older, we have less time to indulge or dive deep into the game’s lore. I’ve noticed this ongoing trend—how time-consuming and unrewarding playing this game is Don’t get me wrong, I truly appreciate the art, ambience, music, graphics—everything about this game. I really do. But just give players the option to skip it. This game has been around for five years and they still doesn't listen.",1
"it's a fun game, nice graphics if you have a good device (for a free game and a mobile game), and great story writing (to a degree). The characters are also great, as well as the mechanics and gameplay. Has one of the best gameplay for mobile games (also very easy to use). It's updates are also fun, and enjoyable in coop. The only reason I gave it a 4 star, is bcs of the fandom, and some parts in the game(such as no skip button). Other than that, it's a great game.",4
"Best game I have ever played!! The graphics, the story, the mechanics, the music and the experience is the best u could ever get! It has a community which is really helpful and they make sure u enjoy the game! I loved every second i played it and don't regret a single one. Just one small suggestion that the gacha system should be made more f2p friendly, that would really help!!",5
"I've been playing the game since its day 1 of release, so thats 5 years of playing. yes i used to love the game no matter what, but things are different now. I feel like they have become more pay 2 win money hungry, and not just that, they actually dont listen to their player base one bit. They say they do things, give out stuff, its all a facade, they mostly dont care. If you look at the new game mode ""Imaginarium Theatre"" or ""Stygian Onslaught"" you need a lot of characters, which u need to pay",1
"I love the characters' lore, design and everything about the game, but pulling for characters or weapons? it's a whole struggle. there's very few events and you can barely collect a few primos, this game doesn't support f2p. honkai is a lot easier and can easily get a lot of pulls. and I was enjoying the abyss at first, but now it's way too hard. also the game lags a lot even tho I'm playing on lowest graphics and I have about 30 GB free space on my phone, sometimes the game also kicks me out.",1
"Really fun open world, lots of quests and exploring, and beautiful scenery. Easy ways to earn the gems for the lotto to win new characters for free. Can play the game for free, or buy gems, doesn't affect gameplay. I would recommend playing on a playstation, since touchscreen is annoying when trying to fight; buttons are a lot easier. Also the game is huge, since it's open world, so downloads on phone are massive.",5
"I genuinely like the game's story and combat aspects , but having to re-download so many resources is just plain outrageous now. Pre-installing resource packs is meaningless — the game just forces you to install everything before continuing . And the fact that players don't have any other options but download is frustrating. It's getting increasingly difficult to accommodate this once-enjoyable game... Mobile players probably won't even get to see Luna II at this point.",2
"A great game, amazing graphics, awesome storyline, this game is so big that I will never reach the end! And constant updates is great too, we get to have more of an adventure! The characters on the other hand, are great! One suggestion i'd like being added in the game is the ability to change your main character! In the start we got two characters, a sister and brother. There should be an option to switch. I got the sister and I wanna switch to Yumemizuki. Also keep Paimon beside our shoulder!!",5
"It's impossible to play on my mobile with the new patch, i only have this device to play the game and now i can't even fight a boss, enter a dialogue or a domain without it crashing and loosing all my progress. I don't plan nor want to ever play Miliastra since it's just a whole different feature and game so please, at least make an option of uninstalling it from my device. P.S.: Both my phone memory and storage management are fine, and i already turned the graphic down to the minimum.",1
"This game has gotten worse and worse over the years. The cut scenes, the lip syncing, and the movement of the characters are below standard of what a game company like this should be doing. I will add that having a main story quest with only a few voice actors available is completely unprofessional. This company gets more than enough money to have a higher budget. And no matter how many surveys we complete, they are never answered or taken seriously. If you are a game company, be a good one.",2
In Miliastra Wonderland when designing my character I thought the clothes were all free but when I check the inventory only the clothes I pick were there. I wish the game notified me saying it was a one time thing. What a complete disappointment and let down. Then again this game has been a complete let down for years so I'm not completely surprised anymore just tired and full of dissapointment. Next time I won't get my hopes up in this game anymore.,1
"the game is overall good, the only problem with this game is after the update i cannot play with it, I've tried many times and it says that my genshin is crashing and it needs to be fix or buy a new device. I can't even log in, I uninstall it and download it again and it's still not working, I've checked my storage and there's still a lot of storage. I hope you guys fix genshin, cause I AM NOT BUYING A NEW DEVICE JUST TO PLAY GENSHIN.",1
"Awesome Game!!!!, but this game has a drawback, while playing co op mode, there is no in-built mic option, I always need to use 3rd party app to connect with my friends for voice chat, if you guys are kind enough to bring voice chat in co op mode, I will be grateful. other than that, this game is one of the best game I have played in my entire life. Thanks",5
"I absolutely love this game! the visual, the characters, the story, it's all just wonderful. I wish we got to hear the traveller's voice more often, but we did get more voicelines in Nod-Krai and that made me really happy! People complain about the rewards not being a lot, but they have been improving and honestly compared to other games, they're still more",5
"the game lore is so peak and especially the characters I love it! the thing is we don't usually get our characters that we WANT in the banner, especially if the pity is so high, please have some sympathy for us, this game will get so many players if you did this. Players would love it, even if they are so dedicated and determined to build that character. the skip button is definitely some players would need! when they are playing and don't have enough time. thank you!",5
"I'm so Disappointed in this new version, and Im giving it 1 Star. Not only cannot access the game anymore, but also the time i played, the efforts, the unfinished quest, and the financial that I invest in this game just got waste. It is not just myself, but others who have been engaged with this game for a longer period are also affected.",1
"Yoooo so the issue about ""compiling shaders"" had been fixed now, and we're back from peakness! I honestly really love this game, no matter how bad some contents are because they're paywalled. I feel like I found my second home once again. Peakest gacha game, PERIOD. Tho honestly, I still have to save for a new device just in case. Nonetheless, I would never stop loving this game with all my heart. ❤️",5
"Honestly, I LOVE the game. But ever since the 6.1 update, my game has been crashing. It's not even done compiling shaders and it's already crashing. I tried to be patient and let it do it's thing for God knows how many times, yet it still crashes. And no, my phone is not the problem. Please fix this, I really missed playing and I probably missed so many rewards.",3
"I personally think Miliastra Wonderland should've been made into a separate game. The fact that Arcane Keystone (which is the currency for the premium banner, where the actually good skins are) can only be obtained by converting Chronal Nexus also isn't ideal. Other than that, I enjoy playing the game and would still recommend it but it'd be nice if Hoyoverse actually listened to its players a bit more. It'd also be nice if collaborations and certain events would be globally available.",3
"This game has the best graphics I have ever seen, the story is amazing, the characters look so cool, the world is so big, and there are so many quests and things to do! this is definitely my favorite game! I usually do not like games where you create parties and switch between the characters in that party but this game is just too fun not to like it! With the new big update this game is just incredible! Thank you for making an incredible game!",5
"Amazing game, love everything, from the graphics, storyline, characters, everything! Genshin is a whole journey like no other. But on the recent update, 6.2 lunar II, I can't use genshin anymore. My phone kept crashing when it's compiling the shaders. I've already tried everything, I have a gaming phone so I don't see the problem. My friend told me it's the recent update's fault, specifically the milistra. Because of it a lot of other playersnotjustme play genshin anymore cause it kept crashing.",1
"a little money hungry. you often have to spend excessive amounts of time on the game if you don't want to spend money. not a very big issue for me since I like the gameplay and the fighting style, but it can be quite tiring to log on every day and spend at least a few hours just to obtain a few primogems. the plot is honestly really well written, but there's a lot of fanservice (isn't a problem for me) that often makes an impact on the characters and how the fans see them. overall, i like it.",3
Great story and world building and everything is almost perfect but the Co-Op is very limited. I hate that i can't do quests with my friends and having to kick them out every time just to finish a small quest or unlock a statue. Many of Genshin player base originally joined because of their friends play this game too but we cant enjoy it fully together due to all these limitations... Genshin will be thousand time more fun if we can finish main story quests and explore together,2
"This game has been an absolute experience... many quests, many tasks, and so much things to do. the map's design is really unique, and so are the characters and their abilities... I like the way you could just pull out a glider and prevent yourself from taking fall damage, and it has been a really important and cool mechanic in the game. overall, I'd like to rate this game 100/10 if I could, but it only limits me to 5, hehe. it's really nice, and it really fits my style of gaming: exploration～",5
"This is my 2nd day trying to fix the app after the Recent Update by doing basic troubleshooting. My phone has specs above the recommended Specifications, Dimensity 7020, Runs in Android 14 and has 8GB Ram and is extended by ROM. This game has been the only game on this phone. And yet it crashes now. I have never had this game crash until now. I have spent a lot on this game. I need some help, I don't want to quit my progress.",1
"this game is amazing! i have started playing this game at version 5.4 and everything about the game is really nice, the archon quests, story quests, hangout events, even characters design were unique! it was a really enjoyable game to play easy to understand, and the game is really nice for newbies, unlocking characters was my favorite part, pulling for characters in random banners, its amazing! great app and you should try it out!^^",5
"I love this game!! From the unique characters and character designs, their different attacks and weapons and etcetera, the only complaint i may have after playing this game for so long, is that it's very difficult to farm artifacts for characters, the random chance is WAY too random and annoying, and considering I only have 200 resin, and 60 characters i wish i could build, it doesn't feel enough. most time i only play the game for an hour or less because i just go in, farm, and then leave",4
"Actually I've played this game since it's first come out. This new update is a trash. Completely different game from Genshin Impact. Wasted a lot of spaces, many bugs, and lags. I can't understand why they try to ruin the game. Copy pasting other game into the existing one is seriously wrong. Just make a new game. If they don't take out that new world, I'm quitting Genshin forever.",1
"This is game is majestic, beautiful, miraculous, heart warming and yeah everything.!! I just started it on a whim only after knowing about it in a reel ( I thought I would delete it after 2 or 3 days) but nah dude I got captivated by this!!! I played so much that I completed all the story quest and world quests along the way in just 3 months!! I'm still not a pro cuz I don't have many charecters and my builds aren't that great either but I'm still learning and working on it. So just install it!!",5
"I've been playing this game on mobile for almost 5 years now, but after this update I encountered a problem. I've been trying to log in the game all day, but every time the compiling shaders part loads to 100% or 96%, it stops and closes automatically. I've already tried uninstalling and reinstalling, but the same problem happens again. I even have enough memory space for the game and my mobile phone is new too. I don't know what else I can do. I really like this game and I don't want to lose it",2
"After the update, the compiling shaders loading so slow then crashes in 98%. I tried to re-load so many times and it crashes every single time. Apparently, many players also experiencing this and reporting the issue but there's still no progress or update. This issue should get attention by Hoyoverse; we mobile users shouldn't lose access to the game like that.",1
"This game is 100% best gameplay ever. It has no adds here so i can play it freely but when you updated it takes hours but play this because it has a great story, theory, characters, and adventure ofcoures. And there special new character event banner. Most of all i love all anniversary every year and their songs its just so calming and relaxing. The quest is a little hard when you use moble but in pc its very easy, i love every backstory they have. The weapons their are very unique and powerful.",5
"Disappointed that the Limited Ode is paywalled. There's no double bonus for first time purchase on the Chronal Nexuseither... And most 4* sets are also needs Chronal Nexus. There's not many good option for f2p and low spenders. Limited Odes is really just for giga whales only. There's no real good rewards for playing the new game mode with how there the good sets are paywalled. Some of games' features are not working. Atp, I just level up the wonderland for Manikin ascension.",2
"One of the best games on mobile for sure, great graphics, great gameplay, and great story. My only complaint for this game is the lack of the option to skip dialogue (or even just to speed up the dialogue). I want to be able to play genshin for straight hours and not watch an anime episode on my phone, it really messes up with grinding especially when exploring new areas and then suddenly you are in an unskippable cutscene.",1
"since there is no skip button, and some of the new dialogue from the new versions can really increase processing requirements, I and some of the people I know who play this find themselves stuck in a loop of: launch the game, be put in dialogue immediately after, and the game crashes. we've no choice but to just keep repeating that loop and hope that it won't crash the next time we boot up the game.",2
